NAME,SPECS,PRICE,RATING
"Samsung Galaxy J6 (Blue, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9490,4.1
"Samsung Galaxy A10 (Blue, 32 GB)","2 GB RAM , 32 GB ROM , Expandable Upto 512 GB15.75 cm (6.2 inch) HD+ Display13MP Rear Camera , 5MP Front Camera3400 mAh Lithium-ion BatteryExynos 7884 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",7990,4.3
"Samsung Galaxy J6 (Black, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9490,4.4
Samsung Guru Music 2,"NA ROM ,5.08 cm (2 inch) NA Display800 mAh Battery0 0 0 208MHz Processor1 Year Manufacturer Warranty",1625,4.1
Samsung Guru 1200,"NA ROM ,3.81 cm (1.5 inch) NA Display800 mAh Battery1 Year for Mobile & 6 Months for Accessories",1100,4.3
Samsung Guru 1200,"NA ROM ,3.81 cm (1.5 inch) NA Display800 mAh Battery0 0 0 0 Processor Processor1 Year for Mobile & 6 Months for Accessories",1100,4.3
"Samsung Galaxy J6 (Gold, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9490,4.1
"Samsung Galaxy A30 (Blue, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) FHD+ Display16MP + 5MP , 16MP Front Camera4000 mAh Lithium-ion BatteryExynos 7904 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",15490,4.3
"Samsung On7 Pro (Gold, 16 GB)","2 GB RAM , 16 GB ROM ,13.97 cm (5.5 inch) Display13MP Rear Camera3000 mAh BatteryNA",6649,4.1
"Samsung Galaxy A20 (Black, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) HD+ Display13MP + 5MP , 8MP Front Camera4000 mAh Lithium-ion BatteryExynos 7884B ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",11490,4.2
Samsung Guru Music 2,"NA ROM , Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP Front Camera800 mAh Li-Ion BatteryNA 0 Single Core 208MHz Processor1 Year Manufacturer Warranty",1749,4.1
"Samsung Galaxy A30 (Black, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) FHD+ Display16MP + 5MP , 16MP Front Camera4000 mAh Lithium-ion BatteryExynos 7904 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",15490,4
Samsung Guru Music 2,"NA ROM ,5.08 cm (2 inch) QVGA Display800 mAh Battery1 Year Manufacturer Warranty",1625,4
"Samsung Galaxy On8 (Black, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB15.24 cm (6 inch) HD+ Display16MP + 5MP , 16MP Front Camera3500 mAh Lithium-ion BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",11990,4.1
